Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,INTRA-ORAL TISSUE CONDUCTION MICROPHONE,27-05-2011,29-12-2011,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,Tinnitus masking systems,11-12-2007,02-08-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,INTRA-ORAL CHARGING SYSTEMS AND METHODS,04-02-2009,20-09-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,INTRA-ORAL BRACKETS FOR TRANSMITTING VIBRATIONS,13-07-2009,13-01-2011,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SIGNAL TRANSMISSION VIA BODY CONDUCTION,05-03-2009,29-10-2009,06-08-2013,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SYSTEMS AND METHODS TO PROVIDE COMMUNICATION POSITIONING AND MONITORING OF USER STATUS,15-10-2009,02-08-2012,18-09-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,CUSTOM FITTED INTRA-ORAL APPLIANCES,08-07-2008,14-01-2010,18-12-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,INTRAORAL APPLIANCE FOR SOUND TRANSMISSION VIA BONE CONDUCTION,09-09-2010,07-04-2011,30-04-2013,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SYSTEMS AND METHODS FOR INTRA-ORAL BASED COMMUNICATIONS,17-07-2008,21-01-2010,23-10-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,METHODS AND SYSTEMS FOR TINNITUS TREATMENT,25-04-2008,29-10-2009,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,MICROPHONE PLACEMENT FOR ORAL APPLICATIONS,05-03-2009,27-09-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,METHODS AND APPARATUS FOR PROCESSING AUDIO SIGNALS,25-08-2010,23-12-2010,31-07-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,METHODS AND APPARATUS FOR TREATING TINNITUS,27-08-2007,13-03-2008,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,BONE CONDUCTION HEARING AID DEVICES AND METHODS,29-05-2007,20-12-2007,16-02-2010,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SYSTEMS FOR MANUFACTURING ORAL-BASED HEARING AID APPLIANCES,20-08-2007,20-03-2008,23-10-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SYSTEMS AND METHODS TO PROVIDE COMMUNICATION AND MONITORING OF USER STATUS,03-03-2008,03-09-2009,20-09-2011,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,DENTAL BONE CONDUCTION HEARING APPLIANCE,16-05-2011,17-11-2011,30-04-2013,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,METHODS AND APPARATUS FOR TRANSMITTING VIBRATIONS,02-05-2008,05-11-2009,17-04-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,HEADSET SYSTEMS AND METHODS,12-05-2009,18-11-2010,17-07-2012,
SUGHRUE MION PLLC,TSUZUKI MASAO - YOSHIKAWA TAKAYA - ,NGK SPARK PLUG CO. LTD. - ,GAS SENSOR,14-11-2011,17-05-2012,
JEREMIAH J. BAUNACH,LUKE HOK-SUM HORACE - WU YI-TSUNG - CHEN CHING - WU YULIN - HUANG CHIEN MING - CHAN TSUNGTING - CHEN SHEN-CHI - YANG FENG KAI - ,GOGORO INC. - ,APPARATUS METHOD AND ARTICLE FOR RESERVING POWER STORAGE DEVICES AT RESERVING POWER STORAGE DEVICE COLLECTION CHARGING AND DISTRIBUTION MACHINES,26-07-2012,31-01-2013,
ASSAL MEFTAHI,PRAKASH RASHMI - BAJAJ SHARAD - AYOUB OMAR - NARAVANEKAR ANIKET - SIMONS BRANDON - HIGGINS WAYNE - STENERSON DERIK - MCCORMACK MICHAEL - DHARAMSHI GAUTAM - VANKAMAMIDI SANDHYA - ,MICROSOFT CORPORATION - ,PROCESS FLOW INFRASTRUCTURE AND CONFIGURATION INTERFACE,02-07-2013,08-01-2015,
RATNERPRESTIA,JOHNSON MATTHEY FINLAND OY - ,JOHNSON MATTHEY FINLAND OY - ,SCAVENGER RESIN AND PROCESSES FOR THE USE THEREOF,20-12-2002,29-04-2004,24-05-2005,
NATIONAL SCIENCE FOUNDATION,MASSACHUSETTS INSTITUTE OF TECHNOLOGY - ,NATIONAL SCIENCE FOUNDATION - ,SYSTEMS AND METHODS FOR SELF-REFERENCED QUANTITATIVE PHASE MICROSCOPY,06-06-2014,25-12-2014,
STMICROELECTRONICS INC.,STMICROELECTRONICS INTERNATIONAL N.V. - ,STMICROELECTRONICS INTERNATIONAL N.V. - ,METHOD AND APPARATUS FOR BUS/ARBITRATION WITH WEIGHTED BANDWIDTH ALLOCATION,19-09-1996,27-12-2001,07-05-2002,
QUALCOMM INCORPORATED,VIDINOTI SA - ,QUALCOMM INCORPORATED - ,AUTOMATED CARTOGRAPHIC ANNOTATION OF DIGITAL IMAGES,05-09-1997,27-03-2001,
QUALCOMM INCORPORATED,VIDINOTI SA - ,QUALCOMM INCORPORATED - ,COMPUTERIZED METHOD AND DEVICE FOR ANNOTATING AT LEAST ONE FEATURE OF AN IMAGE OF A VIEW,30-07-2013,21-11-2013,
QUALCOMM INCORPORATED,VIDINOTI SA - ,QUALCOMM INCORPORATED - ,AUTOMATED ANNOTATION OF A VIEW,28-03-2012,23-08-2012,18-03-2014,
KILPATRICK TOWNSEND & STOCKTON LLP,MENON RAGHAVAN - ,NIMBUZ INC. - ,NETWORKING CLOUD AND METHOD OF USING THE SAME,15-03-2013,12-06-2014,
WOOD HERRON & EVANS LLP (LANTECH),IMBOLEX ENGINEERING GMBH - ,GEBRUDER EGLI MASCHINEN AG - ,ATTACHMENT FOR CONSTRUCTION EQUIPMENT,17-11-2011,24-05-2012,18-11-2014,
JACOBSON HOLMAN PLLC,OGASAWARA PRECISION ENGINEERING LTD - ,OGASAWARA PRECISION ENGINEERING LTD - ,HIGH-PRECISION COG SYSTEM MEASURING INSTRUMENT,10-10-2003,29-07-2004,06-09-2005,
ROBERT C. HALL,HOFFMANN-LA ROCHE INC. - ,F. HOFFMANN-LA ROCHE AG - ,CYCLIC AMIDES,10-01-2013,01-08-2013,
WILLIAM E. HUNTER,MARKEM-IMAJE LIMITED - ,MARKEM-IMAJE INDUSTRIES LIMITED - ,PRINTING APPARATUS AND METHOD OF OPERATION OF A PRINTING APPARATUS,17-02-2012,22-08-2013,29-04-2014,
WILLIAM E. HUNTER,MARKEM-IMAJE LIMITED - ,MARKEM-IMAJE INDUSTRIES LIMITED - ,METHOD OF PRINTING IN WHICH THE PRINTHEAD AND PRINT RIBBON MOVE SIMULTANEOUSLY IN THE SAME DIRECTION,20-03-1998,19-06-2001,
JOHN C. MCMAHON,GARRETT THOMAS M. - DU XIAN XIAN - ,MCPU POLYMER ENGINEERING LLC - ,METHOD FOR INCREASING MISCIBILITY OF NATURAL OIL POLYOL WITH PETROLEUM-BASED POLYOL,05-11-2010,09-09-2014,
RATNERPRESTIA,JOHNSON MATTHEY FINLAND OY - ,JOHNSON MATTHEY FINLAND OY - ,Scavenger supports and the use thereof in a process for the extraction of metals,22-09-2008,22-01-2009,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,METHOD AND APPARATUS FOR LAYER 3 CONFIGURATION IN A HETEROGENEOUS NETWORK,19-12-2012,19-06-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,METHOD AND APPARATUS FOR CONTROL CHANNEL CONFIGURATION IN A HETEROGENEOUS NETWORK ARCHITECTURE,19-12-2012,19-06-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,SYSTEM AND METHOD OF DETERMINING STYLUS LOCATION ON TOUCH-SENSITIVE DISPLAY,01-03-2013,04-09-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,Trusted Certificate Authority to Create Certificates Based on Capabilities of Processes,23-12-2011,27-06-2013,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,Design for Small Cell Demodulation Reference Signal and Initial Synchronization,14-02-2013,14-08-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,DESIGN FOR SMALL CELL DEMODULATION REFERENCE SIGNAL AND INITIAL SYNCHRONIZATION,14-02-2013,14-08-2014,24-02-2015,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,METHOD AND APPARATUS FOR CUSTOMIZING A FOCUS INACTIVITY TIMER BASED ON NETWORK WATERMARK CONDITIONS,30-07-2014,20-11-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,METHOD AND APPARATUS FOR HYBRID AUTOMATIC REPEAT REQUEST OPERATION IN A HETEROGENEOUS NETWORK ARCHITECTURE,19-12-2012,19-06-2014,
BLACKBERRY LIMITED - JAMIE-LYN,RESEARCH IN MOTION LIMITED - ,BLACKBERRY LIMITED - ,METHOD AND APPARATUS FOR ASSISTED SERVING CELL CONFIGURATION IN A HETEROGENEOUS NETWORK ARCHITECTURE,19-12-2012,19-06-2014,
WILLIAM E. HUNTER,MARKEM-IMAJE LIMITED - ,MARKEM-IMAJE INDUSTRIES LIMITED - ,METHOD OF PRINTING,24-03-1999,24-07-2001,
ANTHONY P. VENTURINO,ROCK CREEK ALUMINUM INC. - ,ROCK CREEK ALUMINUM LLC - ,Method for densifying aluminum and iron briquettes and adding to steel,22-06-2001,26-02-2002,
WILLIAM E. HUNTER,MARKEM-IMAJE LIMITED - ,MARKEM-IMAJE INDUSTRIES LIMITED - ,PRINTING APPARATUS WITH A SHUTTLE FOR MOVING THE PRINTING RIBBON,03-11-1997,02-11-1999,
CECELIA M. PERRY,KARL STORZ MEDIZINISCHE NÄHSYSTEME GMBH & CO. KG - ,KARL STORZ GMBH & CO. KG - ,ENDOSCOPIC SUTURING MACHINE,17-05-2011,24-11-2011,18-03-2014,
CAROL PETROSKY,RICE UNIVERSITY - ,NAVY SECRETARY OF THE UNITED STATES OF AMERICA - ,METHOD AND APPARATUS FOR COMPRESSIVE ACQUISITION AND RECOVERY OF DYNAMIC IMAGERY,21-12-2012,18-04-2013,
FITCH EVEN TABIN & FLANNERY LLP,KRAFT JACOBS SUCHARD LIMITED - ,KRAFT FOODS UK LTD - ,Beverage Preparation Machines And Methods For Operating Beverage Preparation Machines,08-09-2010,24-03-2011,
STITES & HARBISON PLLC,DEROSSETT THOMAS A. JR. - ,CATHY H. DEROSSETT TTEE THE THOMAS A. DEROSSETT JR. AND CATHY H. DEROSSETT AMENDED TRUST AGREEMENT - ,COMPACT LASER ETCHING DEVICE SYSTEM AND METHOD,23-08-2010,03-12-2013,
RICHARD JOHN BARTZ,HAMMARBACK BARRY J. - ,MRLB INTERNATIONAL INC. - ,Water purification cartridge,12-05-2014,04-11-2014,
RICHARD JOHN BARTZ,HAMMERBACK BARRY J. AKA BARRY J. HAMMARB - ,MRLB INTERNATIONAL INC. - ,WATER PURIFICATION CARTRIDGE,02-01-2013,02-09-2014,
DUANE MORRIS LLP,THE HONG KONG POLYTECHNIC UNIVERSITY - ,AVALON NANOFIBER LIMITED - ,MULTILAYER NANOFIBER FILTER,02-08-2013,13-02-2014,
MEDTRONIC VASCULAR INC.,ARDIAN INC. - ,MEDTRONIC ARDIAN LLC - ,Methods and Apparatus for Multi-Vessel Renal Neuromodulation,26-06-2014,22-01-2015,
ERIK J. OVERBERGER,JIANGSU TRANSIMAGE TECHNOLOGY CO. LTD. - ,JIANGSU TRANSIMAGE TECHNOLOGY CORP. LTD. - ,LAPTOP KEYBOARD STRUCTURE,13-03-2012,11-07-2013,22-07-2014,
WILLIAM E. HUNTER,MARKEM-IMAJE LIMITED - ,MARKEM-IMAJE INDUSTRIES LIMITED - ,METHOD OF PRINTING INCLUDING MOVING A PRINT HEAD TO A DOWNSTREAM EXTREME POSITION,06-04-2006,12-10-2006,02-06-2009,
RATNERPRESTIA,JOHNSON MATTHEY FINLAND OY - ,JOHNSON MATTHEY FINLAND OY - ,SCAVENGER SUPPORTS AND THE USE THEREOF IN A PROCESS FOR THE EXTRACTION OF METALS,02-05-2012,23-08-2012,18-02-2014,
MCCARTHY TETRAULT LLP - VINCENT K.S. YIP,1781221 ALBERTA LTD. - ,RCO2 LICENSING INC. - ,ENVIRONMENT FRIENDLY BUILDING SYSTEM UTILIZING RECYCLED/UPCYCLED COLLAPSED PRE-FORMED & POST CONSUMER PLASTIC MATERIAL,31-05-2013,10-07-2014,
HERSHKOVITZ & ASSOCIATES PLLC,FABRICATION DE JARDINA HYDRO-PRO INC. - ,SECCO INTERNATIONAL INC. - ,ROTARY PLANT GROWING APPARATUS,28-02-2003,01-04-2004,11-01-2005,
